,geo,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
9859,IS,9419.1,10383.4,10934.3,11479.9,12132.9,13472.6,15795.3,18804.2,21921.5,22174.4,21994.3
9860,IT,1577255.9,1611279.4,1648755.8,1624358.7,1612751.3,1627405.6,1655355.0,1695786.8,1736592.8,1771565.9,1790941.5
9861,LI,,,,,4812.4,5021.7,5649.1,5637.7,5804.3,5822.5,
9862,LT,26897.0,28033.8,31317.2,33410.2,35039.5,36581.3,37345.7,38889.9,42276.3,45491.1,48797.4
9863,LU,36976.5,40177.8,43164.6,44112.1,46499.6,49824.5,52065.8,54867.2,56814.2,60053.1,63516.3
9864,LV,18855.0,17872.8,20310.5,22219.0,22966.3,23613.9,24560.9,25360.3,26962.3,29142.5,30420.9
9865,ME,2993.9,3125.1,3264.8,3181.5,3362.5,3457.9,3654.5,3954.2,4299.1,4663.1,4950.7
9866,MK,6766.5,7108.3,7544.2,7584.8,8149.6,8562.0,9072.3,9656.5,10038.3,10744.0,11209.1
9867,MT,6259.6,6815.8,6924.6,7364.5,7944.3,8751.1,9996.7,10589.2,11703.5,12587.4,13592.2
9868,NL,624842.0,639187.0,650359.0,652966.0,660463.0,671560.0,690008.0,708337.0,738146.0,773987.0,810247.0
9869,NO,278246.6,323760.9,358339.5,396523.5,393408.7,375947.3,347632.1,333471.3,353316.4,370294.3,362242.6
9870,PL,317040.6,362190.9,379860.0,387947.0,392310.7,408967.8,430465.8,427091.8,467426.6,497842.3,532329.2
9871,PT,175416.4,179610.8,176096.2,168295.6,170492.3,173053.7,179713.2,186489.8,195947.2,205184.1,213949.3
9872,RO,125213.9,125472.3,131841.6,132711.2,143690.4,150708.6,160149.8,170063.4,187772.7,204496.9,222997.6
9873,RS,32486.2,31545.8,35431.7,33679.3,36426.7,35467.5,35740.2,36779.3,39235.3,42892.2,45970.4
9874,SE,314637.5,374695.2,412844.7,430037.1,441850.7,438833.9,455494.7,466266.5,480025.5,470673.1,474550.5
9875,SI,36254.9,36363.9,37058.6,36253.3,36454.3,37634.3,38852.6,40443.2,43009.1,45862.6,48392.6
9876,SK,64095.5,68188.7,71304.5,73575.8,74448.8,76269.8,79767.6,81051.5,84532.2,89505.5,93865.2
9877,TR,465245.5,584855.7,600961.4,683587.3,719726.6,707000.8,777042.3,785618.9,760497.1,658464.1,679510.4
9878,UK,1738066.5,1872175.5,1912869.3,2111028.9,2096338.0,2311080.2,2644716.5,2434119.2,2359789.9,2420897.2,2526615.2
9879,XK,4069.6,4402.0,4814.5,5058.8,5326.6,5567.5,5807.0,6070.1,6413.8,6725.9,7103.8
